"profileId","speciesId","birdName","latinBirdName","recDate","countryId","country","location","latitude","longitude","recMap"
"1623","512","Mellemflagspætte","Dendrocoptes medius","2008-07-13","39","Polen","Palace Park, Bialowieza","","",""
"1623","513","Hvidrygget Flagspætte","Dendrocopos leucotos","2008-07-13","39","Polen","Bialowieza Strict Reserve","","",""
"1623","514","Lille Flagspætte","Dryobates minor","2003-06-14","1","Danmark","Vaserne","","",""
"1623","534","Toplærke","Galerida cristata","2006-07-21","1","Danmark","Hirtshals Station","","",""
"1623","536","Hedelærke","Lullula arborea","2007-03-31","1","Danmark","Gilbjerg Hoved","56.126449","12.270794","http://maps.google.co.uk/maps?q=loc:56.126449, 12.270794(Hedelærke)&z=7&iwloc=A"
"1623","538","Sanglærke","Alauda arvensis","2003-05-10","1","Danmark","Knudsker Lund","","",""
"1623","540","Bjerglærke","Eremophila alpestris","2006-10-16","1","Danmark","Anholt Flyveplads","","",""
"1623","543","Digesvale","Riparia riparia","2003-05-17","1","Danmark","Galløkken","","",""
"1623","547","Klippesvale","Ptyonoprogne rupestris","2009-04-05","15","Italien","Brennerpasset","","",""
"1623","548","Landsvale","Hirundo rustica","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Landsvale)&z=7&iwloc=A"
"1623","553","Bysvale","Delichon urbicum","2003-01-01","1","Danmark","","","",""
"1623","551","Rødrygget Svale","Cecropis daurica","2018-03-10","8","Spanien","Malaga","","",""
"1623","556","Markpiber","Anthus campestris","2016-05-21","1","Danmark","Gedser Odde","","",""
"1623","559","Tajgapiber","Anthus hodgsoni","2014-10-13","1","Danmark","Grønningen, Blåvand","","",""
"1623","560","Skovpiber","Anthus trivialis","2003-09-28","1","Danmark","Vestskoven","","",""
"1623","562","Engpiber","Anthus pratensis","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Engpiber)&z=7&iwloc=A"
"1623","564","Skærpiber","Anthus petrosus","2006-10-14","1","Danmark","Anholt Havn","","",""
"1623","565","Bjergpiber","Anthus spinoletta","2012-02-02","1","Danmark","Hornbæk Havn","","",""
"1623","567","Gul Vipstjert","Motacilla flava","2004-08-15","1","Danmark","Vestamager","","",""
"1623","569","Bjergvipstjert","Motacilla cinerea","2006-09-30","1","Danmark","Kalvebo Fælled","","",""
"1623","570","Hvid Vipstjert","Motacilla alba","","1","Danmark","","","",""
"1623","575","Silkehale","Bombycilla garrulus","2004-01-12","1","Danmark","Frederiksborg Byskole","","",""
"1623","578","Vandstær","Cinclus cinclus","2005-01-16","1","Danmark","Mølleåen","","",""
"1623","579","Gærdesmutte","Troglodytes troglodytes","2003-06-14","1","Danmark","Vaserne","","",""
"1623","583","Jernspurv","Prunella modularis","2003-09-28","1","Danmark","Vestskoven","","",""
"1623","584","Sibirisk Jernspurv","Prunella montanella","2016-10-15","1","Danmark","Nordhavnstippen/Stubben","","",""
"1623","590","Rødhals","Erithacus rubecula","","1","Danmark","","","",""
"1623","591","Nattergal","Luscinia luscinia","2003-05-01","1","Danmark","Knudsker","","",""
"1623","592","Sydlig Nattergal","Luscinia megarhynchos","2016-05-30","1","Danmark","Blåvands Huk","","",""
"1623","594","Blåhals","Luscinia svecica","2006-05-26","1","Danmark","Rudbøl Kog","","",""
"1623","599","Husrødstjert","Phoenicurus ochruros","2005-07-23","36","Tyskland","Stralsund","","",""
